Num 1,Num 2,binCH,png
11,16,0,11_16_0
13,11,0,13_11_0
13,13,0,13_13_0
13,16,0,13_16_0
13,19,0,13_19_0
16,11,0,16_11_0
16,13,0,16_13_0
16,16,0,16_16_0
16,19,0,16_19_0
16,23,0,16_23_0
19,13,0,19_13_0
19,16,0,19_16_0
19,19,0,19_19_0
19,23,0,19_23_0
19,27,0,19_27_0
23,16,0,23_16_0
23,19,0,23_19_0
23,23,0,23_23_0
23,27,0,23_27_0
23,32,0,23_32_0
27,19,0,27_19_0
27,23,0,27_23_0
27,27,0,27_27_0
27,32,0,27_32_0
32,23,0,32_23_0
11,16,1,11_16_1
13,11,1,13_11_1
13,13,1,13_13_1
13,16,1,13_16_1
13,19,1,13_19_1
16,11,1,16_11_1
16,13,1,16_13_1
16,16,1,16_16_1
16,19,1,16_19_1
16,23,1,16_23_1
19,13,1,19_13_1
19,16,1,19_16_1
19,19,1,19_19_1
19,23,1,19_23_1
19,27,1,19_27_1
23,16,1,23_16_1
23,19,1,23_19_1
23,23,1,23_23_1
23,27,1,23_27_1
23,32,1,23_32_1
27,19,1,27_19_1
27,23,1,27_23_1
27,27,1,27_27_1
27,32,1,27_32_1
32,23,1,32_23_1
11,16,1,11_16_1
13,11,1,13_11_1
13,13,1,13_13_1
13,16,1,13_16_1
13,19,1,13_19_1
16,11,1,16_11_1
16,13,1,16_13_1
16,16,1,16_16_1
16,19,1,16_19_1
16,23,1,16_23_1
19,13,1,19_13_1
19,16,1,19_16_1
19,19,1,19_19_1
19,23,1,19_23_1
19,27,1,19_27_1
23,16,1,23_16_1
23,19,1,23_19_1
23,23,1,23_23_1
23,27,1,23_27_1
23,32,1,23_32_1
27,19,1,27_19_1
27,23,1,27_23_1
27,27,1,27_27_1
27,32,1,27_32_1
32,23,1,32_23_1
11,16,0,11_16_0
13,11,0,13_11_0
13,13,0,13_13_0
13,16,0,13_16_0
13,19,0,13_19_0
16,11,0,16_11_0
16,13,0,16_13_0
16,16,0,16_16_0
16,19,0,16_19_0
16,23,0,16_23_0
19,13,0,19_13_0
19,16,0,19_16_0
19,19,0,19_19_0
19,23,0,19_23_0
19,27,0,19_27_0
23,16,0,23_16_0
23,19,0,23_19_0
23,23,0,23_23_0
23,27,0,23_27_0
23,32,0,23_32_0
27,19,0,27_19_0
27,23,0,27_23_0
27,27,0,27_27_0
27,32,0,27_32_0
32,23,0,32_23_0
11,16,2,11_16_2
13,11,2,13_11_2
13,13,2,13_13_2
13,16,2,13_16_2
13,19,2,13_19_2
16,11,2,16_11_2
16,13,2,16_13_2
16,16,2,16_16_2
16,19,2,16_19_2
16,23,2,16_23_2
19,13,2,19_13_2
19,16,2,19_16_2
19,19,2,19_19_2
19,23,2,19_23_2
19,27,2,19_27_2
23,16,2,23_16_2
23,19,2,23_19_2
23,23,2,23_23_2
23,27,2,23_27_2
23,32,2,23_32_2
27,19,2,27_19_2
27,23,2,27_23_2
27,27,2,27_27_2
27,32,2,27_32_2
32,23,2,32_23_2
11,16,2,11_16_2
13,11,2,13_11_2
13,13,2,13_13_2
13,16,2,13_16_2
13,19,2,13_19_2
16,11,2,16_11_2
16,13,2,16_13_2
16,16,2,16_16_2
16,19,2,16_19_2
16,23,2,16_23_2
19,13,2,19_13_2
19,16,2,19_16_2
19,19,2,19_19_2
19,23,2,19_23_2
19,27,2,19_27_2
23,16,2,23_16_2
23,19,2,23_19_2
23,23,2,23_23_2
23,27,2,23_27_2
23,32,2,23_32_2
27,19,2,27_19_2
27,23,2,27_23_2
27,27,2,27_27_2
27,32,2,27_32_2
32,23,2,32_23_2
16,11,0,16_11_0
11,13,0,11_13_0
13,13,0,13_13_0
16,13,0,16_13_0
19,13,0,19_13_0
11,16,0,11_16_0
13,16,0,13_16_0
16,16,0,16_16_0
19,16,0,19_16_0
23,16,0,23_16_0
13,19,0,13_19_0
16,19,0,16_19_0
19,19,0,19_19_0
23,19,0,23_19_0
27,19,0,27_19_0
16,23,0,16_23_0
19,23,0,19_23_0
23,23,0,23_23_0
27,23,0,27_23_0
32,23,0,32_23_0
19,27,0,19_27_0
23,27,0,23_27_0
27,27,0,27_27_0
32,27,0,32_27_0
23,32,0,23_32_0
16,11,1,16_11_1
11,13,1,11_13_1
13,13,1,13_13_1
16,13,1,16_13_1
19,13,1,19_13_1
11,16,1,11_16_1
13,16,1,13_16_1
16,16,1,16_16_1
19,16,1,19_16_1
23,16,1,23_16_1
13,19,1,13_19_1
16,19,1,16_19_1
19,19,1,19_19_1
23,19,1,23_19_1
27,19,1,27_19_1
16,23,1,16_23_1
19,23,1,19_23_1
23,23,1,23_23_1
27,23,1,27_23_1
32,23,1,32_23_1
19,27,1,19_27_1
23,27,1,23_27_1
27,27,1,27_27_1
32,27,1,32_27_1
23,32,1,23_32_1
16,11,1,16_11_1
11,13,1,11_13_1
13,13,1,13_13_1
16,13,1,16_13_1
19,13,1,19_13_1
11,16,1,11_16_1
13,16,1,13_16_1
16,16,1,16_16_1
19,16,1,19_16_1
23,16,1,23_16_1
13,19,1,13_19_1
16,19,1,16_19_1
19,19,1,19_19_1
23,19,1,23_19_1
27,19,1,27_19_1
16,23,1,16_23_1
19,23,1,19_23_1
23,23,1,23_23_1
27,23,1,27_23_1
32,23,1,32_23_1
19,27,1,19_27_1
23,27,1,23_27_1
27,27,1,27_27_1
32,27,1,32_27_1
23,32,1,23_32_1
16,11,0,16_11_0
11,13,0,11_13_0
13,13,0,13_13_0
16,13,0,16_13_0
19,13,0,19_13_0
11,16,0,11_16_0
13,16,0,13_16_0
16,16,0,16_16_0
19,16,0,19_16_0
23,16,0,23_16_0
13,19,0,13_19_0
16,19,0,16_19_0
19,19,0,19_19_0
23,19,0,23_19_0
27,19,0,27_19_0
16,23,0,16_23_0
19,23,0,19_23_0
23,23,0,23_23_0
27,23,0,27_23_0
32,23,0,32_23_0
19,27,0,19_27_0
23,27,0,23_27_0
27,27,0,27_27_0
32,27,0,32_27_0
23,32,0,23_32_0
16,11,2,16_11_2
11,13,2,11_13_2
13,13,2,13_13_2
16,13,2,16_13_2
19,13,2,19_13_2
11,16,2,11_16_2
13,16,2,13_16_2
16,16,2,16_16_2
19,16,2,19_16_2
23,16,2,23_16_2
13,19,2,13_19_2
16,19,2,16_19_2
19,19,2,19_19_2
23,19,2,23_19_2
27,19,2,27_19_2
16,23,2,16_23_2
19,23,2,19_23_2
23,23,2,23_23_2
27,23,2,27_23_2
32,23,2,32_23_2
19,27,2,19_27_2
23,27,2,23_27_2
27,27,2,27_27_2
32,27,2,32_27_2
23,32,2,23_32_2
16,11,2,16_11_2
11,13,2,11_13_2
13,13,2,13_13_2
16,13,2,16_13_2
19,13,2,19_13_2
11,16,2,11_16_2
13,16,2,13_16_2
16,16,2,16_16_2
19,16,2,19_16_2
23,16,2,23_16_2
13,19,2,13_19_2
16,19,2,16_19_2
19,19,2,19_19_2
23,19,2,23_19_2
27,19,2,27_19_2
16,23,2,16_23_2
19,23,2,19_23_2
23,23,2,23_23_2
27,23,2,27_23_2
32,23,2,32_23_2
19,27,2,19_27_2
23,27,2,23_27_2
27,27,2,27_27_2
32,27,2,32_27_2
23,32,2,23_32_2
